AA Urbanized Area (UZA) Name,UZA Population,UZA code,Transit Category,% PMT Rail,Public Transit Percent,Percent as Number, $ Fare Revenue ,$ Op Expenses, $ Op Expenses (millions) ,Cost Recovery Ratio,PMT Transit, Transit Passenger Miles Traveled (millions) , PMT Bus , PMT Rail ,Rail Portion of Transit Passenger Miles,Bus - $ per PMT,Heavy Rail - $ per PMT,Comm Rail -$ per PMT ,Light Rail - $ per PMT,Automated Guideway - $ per PMT,,Per Capita Transit Passenger Miles / yr,Per Capita Transit Operating Expense / yr,,"Estimated Pop (1,000) ",Estimated Pop,INTERSTATE miles,Other Fwy Miles,Other Principal Arterial Miles,Minor Arterial Miles,Collector Miles,Local Miles,Total Miles,Total Fwy DVMT (000),Other Principal Arterials DVMT,Minor Arterial DVMT (000),Collector DVMT (000),Local DVMT (000),Total DVMT (000),Net Land Area Sq miles,Persons per Square mile,Miles of Roadway per 1000 persons,Total DVMT per Capita,Annual VMT Per Capita,Total Miles of Freeways,% of Total Miles Serving as Freeways,% Of Total DVMT Served by Freeways,Total Estimated Freeway Lane Miles,FHWA AVG daily traffic per freeway lane,,TTI Population Group, Estimated Pop (000) , Size (sq miles) , Population Density (persons/sq mile) , Peak Period Travelers (000) , Freeway Daily VMT (000) , Frwy Lane-miles , Arterial Daily VMT (000) , Arterial Lane-miles , Total Fwy. & Arterial lane-miles calc ,Total lane miles per cap - calc, Transit PMT/yr (million) , Transit Unlinked Pas. Trips (millions) ,Fuel Cost ($/gal),Congested (% of Peak VMT),Congested (% of lane-miles),Hrs. of Congestion - system,Con. Congestion -Transit HOV riders needed (000), Ex. Fuel Consumption - Total Gallons (000) ,Ex. Fuel - Gal per peak traveler, Total Delay hrs/yr (000)  ,Hrs/yr delay per peak traveler,% Delay due to Incidents,TTI Travel Time Index, Congestion Cost  $/ yr (000) , Cong. Cost / peak Traveler $/yr , Transit - Delay Reductions (1000 hrs) ,Transit - Delay Red. Per Peak Tr. (hrs /yr) , Transit - Cong. Cost Savings $ millions , Transit - Fuel Savings (1000 gal)  , If no transit - Delay increase (1000 hrs / yr)  ,If no transit - Delay inc. per peak trav. hrs/yr , If no Transit - Cong. Cost Inc. $million/yr  , If no tran. - Wasted Fuel inc. (1000 gals)  ,Per Capita Congestion Delay hrs/yr- calc,Per Capita Congestion Cost $/yr,Per Capita Congestion Cost Savings due to Transit $/yr- calc,,BLS 06/07 Income before taxes,Persons per Consumer Unit (Household),Vehicle per Consumer Unit ,Transportation Expenditures per Household /yr.,Gasoline and motor oil Expenditures,"Transport Expenditures, Percent of Total Income",,Travel to Work - Drove Alone Percent,Travel to Work - Carpooled Percent,Travel to Work - Public Transit Percent,Mean Travel Time to Work - Minutes,Travel to Work - Walk %,Travel to Work - Bicycle %,Walk & Mile Commute,Travel to Work - Work at Home %,,Total Crash Fatalities,Pedestrians Killed, City(s) Population  ,"Ped. Fatalities Per 100,000 ","Total Crash Fatalities per 100,000",Per Capita GDP,Per Capita Income
"New York-Newark, NY-NJ-CT",18351295,1,L,0.78,0.311,31.1,5036047268,10267634889,10267.6,0.49,21461477658,21461,4451138870,16795081238,0.78,0.85,0.33,0.38,1.26,,,1179.5,564.28,,18196,18196000,505,707,2590,4827,3881,31090,43600,119239,65533,51769,21277,47920,305738,4485,4057,2.4,16.8,6132,1212,2.8,39,7213,16531,,Vlg,17775,4780,3719,8319,117500,7200,95000,19010,26210,1.47,18720,3478,2.4,68,48,7.2,206,241976,29,384046,46,64,1.39,7383,888,41215,5,781.9,16285.1,216431,26,4177.6,131589.6,21.6,415.4,235,,76022,2.5,1.3,8048,1892,0.11,,49.4,7.4,31.1,34.8,0.06,0,0.09,0.04, ,307,148,8554662,1.73,3.59,57097,54222
"Los Angeles-Long Beach-Santa Ana, CA",12150996,2,S,0.28,0.063,6.3,481492072,1931639668,1931.6,0.25,3220185306,3220,2260005173,899302100,0.28,0.63,0.45,0.3,0.5,,,260.8,156.47,,12345,12345000,354,320,2524,3164,2623,15884,24869,135237,71549,49539,11676,12398,280399,1971,6263,2,23,8395,674,3,48,5614,24089,,Vlg,12540,2285,5488,6784,140000,5870,126000,20755,26625,2.12,2981,666,2.62,86,62,8,126,383674,57,490552,72,46,1.5,9324,1374,56611,8,1067.8,27763.9,28494,4,458.7,16643,39.1,743.5,36.6,,76384,2.8,1.8,10141,2712,0.13,,73.8,11,6.3,28.5,0.03,0.01,0.06,0.04,,330,109,4640415,2.35,7.11,47214,42916
"Chicago, IL-IN",8608208,3,L,0.73,0.126,12.6,746226278,2195390220,2195.4,0.34,4025080075,4025,993084264,2954541382,0.73,1.03,0.48,0.29,,,,447.8,244.26,,8988,8988000,475,68,1830,2539,2601,18298,25811,54824,45615,32594,18789,21243,173065,3624,2480,2.9,19.3,7045,543,2.1,31.7,2982,18385,,Vlg,8140,2800,2907,4379,55050,2720,50500,12900,15620,1.92,3873,604,2.34,82,63,7.8,70,141612,32,202835,46,49,1.47,3968,906,8384,2,163.6,5092.9,39554,9,779.4,28850.8,24.9,487.5,95.7,,75463,2.6,1.8,8846,2322,0.12,,69.8,9.2,12.6,31,0.03,0.01,0.07,0.04,,192,50,2836658,1.76,6.77,45463,45328
"Philadelphia, PA-NJ-DE-MD",5502379,4,L,0.66,0.099,9.9,382602281,1037150558,1037.2,0.37,1600264749,1600,527122631,1052562570,0.66,0.97,0.38,0.41,0.81,,,302.5,196.02,,5291,5291000,270,202,1343,1715,1966,13917,19413,36402,29925,17729,11356,12168,107580,2257,2344,3.7,20.3,7410,472,2.4,33.8,2409,15111,,Vlg,5300,2280,2325,2920,35325,2305,48235,8240,10545,1.99,1631,353,2.28,63,52,7.2,114,70902,24,111703,38,59,1.28,2077,711,6393,2,120.1,3483.5,19155,7,359.7,11302.3,21.1,391.9,67.9,,65637,2.4,1.5,7345,2106,0.11,,72.6,9.2,9.9,27.9,0.04,0,0.06,0.03,,124,34,1449634,2.35,8.55,47256,46954
"Miami, FL",5441567,5,S,0.25,0.037,3.7,124786866,700944227,700.9,0.18,972537557,973,667596696,242388655,0.25,0.7,0.6,0.4,,2.38,,179.3,129.25,,5423,5423000,131,200,710,952,1323,13038,16354,41037,28078,24299,15135,24710,133259,1499,3618,3,24.6,8979,331,2,30.8,2102,19523,,Vlg,5330,1680,3173,3022,39470,2050,52455,7400,9450,1.77,806,159,2.34,85,64,8,111,105181,35,150146,50,52,1.38,2730,903,12911,4,232.1,6862.5,9748,3,170.3,5978.9,28.2,512.2,32,,54990,2.4,1.5,7938,2457,0.14,,78.6,9.8,3.7,27.8,0.02,0,0.03,0.04,,56,17,409719,4.15,13.67,40447,43709
"Dallas-Fort Worth-Arlington, TX",5121892,6,S,0.34,0.02,2,47467799,400590834,400.6,0.12,504570755,505,276968992,172147867,0.34,0.87,,0.89,0.57,,,113.9,90.43,,4430,4430000,291,234,983,1161,2093,13099,17861,54559,28001,18417,11789,5292,118058,1657,2674,4,26.6,9709,526,2.9,46.2,3184,17135,,Vlg,4445,2300,1933,2627,57300,3150,45750,8260,11410,2.57,486,82,2.23,66,43,7.6,96,106207,40,152129,58,55,1.35,2747,1046,12193,5,215.5,5757.9,5642,2,102.2,3877.5,34.2,618,23,,67145,2.8,1.9,10764,2559,0.16,,80.3,11.2,2,25.9,0.01,0,0.06,0.04,,257,62,2293355,2.7,11.21,50067,42392
"Boston, MA-NH-RI",4944332,7,L,0.84,0.132,13.2,401491774,1020902269,1020.9,0.39,1764515276,1765,247930155,1481154881,0.84,1.39,0.51,0.29,0.68,,,430.3,248.94,,4101,4101000,278,167,1124,2113,1846,11337,16865,39944,20730,14418,5545,12703,93341,2241,1830,4,23,8395,446,3,43,2547,15683,,Vlg,4075,2240,1819,2033,40875,2550,35540,7200,9750,2.39,1768,402,2.28,59,37,7.2,78,62521,31,93375,46,56,1.27,1820,895,4643,2,89.5,2533.2,21441,11,416.1,12978.6,22.9,446.6,102.1,,80966,2.3,1.7,8707,2026,0.11,,68.4,7.9,13.2,28.9,0.05,0.01,0.08,0.04,,30,8,599351,1.33,5.01,57916,55023
"Washington, DC-VA-MD",4586770,8,L,0.71,0.158,15.8,566734972,1478660873,1478.7,0.38,2380226822,2380,668212046,1693546306,0.71,1,0.44,0.45,,,,549.5,341.33,,4332,4332000,186,143,705,1115,1142,8446,11737,39045,25321,17687,7454,8353,97860,1305,3320,2.7,22.6,8249,330,2.8,39.9,2077,18799,,Vlg,4280,1310,3267,2131,38580,2050,41195,6100,8150,1.9,2195,462,2.4,81,63,8,74,90861,43,127394,60,51,1.37,2331,1094,8942,4,162.8,3501.9,25655,12,456.4,17343.4,29.8,544.6,106.6,,100486,2.6,1.8,9531,2272,0.09,,64.7,10.4,15.8,32.2,0.03,0,0.05,0.04,,44,19,588292,3.23,7.48,61834,56510
"Detroit, MI",4515419,9,B,0,0.018,1.8,37768095,282526857,282.5,0.13,280064218,280,268510426,0,0,0.9,,,,3.62,,71.9,72.55,,3894,3894000,220,84,1102,1478,1084,10863,14831,32782,33195,20755,7101,10150,103983,1439,2706,4,27,9855,303,2,32,1916,17110,,Vlg,4055,1440,2816,2153,33045,1915,53200,8580,10495,2.59,267,48,2.33,71,57,7.6,62,76062,35,115547,54,53,1.29,2174,1010,3824,2,73,2895.6,3276,2,61.3,1949.6,28.5,536.1,15.1,,58414,2.4,2,8743,2602,0.15,,84.7,8.1,1.8,25.6,0.02,0,0.03,0.03,,120,30,916952,3.27,13.09,40086,39806
"Houston, TX",4181019,10,S,0.05,0.031,3.1,57101175,328682525,328.7,0.17,604634539,605,495839425,28317753,0.05,0.55,,,0.53,,,195.1,106.06,,3099,3099000,137,240,693,1481,1409,11597,15557,48311,20723,21469,9479,4408,104390,1476,2100,5,34,12410,378,2,46,2547,18968,,Vlg,3790,1905,1990,2198,46350,2480,39355,7415,9895,2.61,552,95,2.23,73,46,7.6,70,92559,42,124132,56,50,1.36,2225,1012,13617,6,240.8,5856.1,5959,3,96.1,3907.5,32.8,587.1,25.4,,71124,2.7,1.8,11119,2936,0.16,,77.8,12.5,3.1,27.8,0.02,0,0.03,0.03,,209,56,2208180,2.54,9.46,49182,48259
"Atlanta, GA",3734090,11,S,0.59,0.04,4,114654694,418690802,418.7,0.27,911119657,911,330800516,541418734,0.59,0.68,0.32,,,,,203.5,93.52,,4477,4477000,297,57,589,2034,1306,15804,20087,47823,15889,28382,9828,24608,126530,3027,1479,5,28,10220,354,2,38,2508,19068,,Vlg,4170,3050,1367,2193,49200,2545,45000,7500,10045,2.41,811,150,2.23,76,58,7.8,61,96066,44,132295,60,52,1.34,2581,1177,8647,4,172.1,5306.6,12542,6,245.2,8763.6,31.7,618.9,58.8,,67859,2.5,1.7,8053,2407,0.12,,76.9,10.2,4,30.4,0.02,0,0.07,0.05,,,,,,,43020,37655
"San Francisco-Oakland, CA",3629114,12,L,0.71,0.169,16.9,559937330,1545488141,1545.5,0.36,2459835820,2460,654368336,1754633737,0.71,1.16,0.34,0.27,1.16,,,777.9,488.77,,3162,3162000,142,124,450,856,860,4707,7139,38362,11906,11209,4264,3198,68939,1054,3000,2,22,8030,265,4,56,1931,19866,,Vlg,4140,1270,3260,2153,50000,2475,31100,5240,7715,1.86,2283,418,2.62,81,58,8,34,100525,47,129919,60,49,1.41,2414,1121,16705,8,305.8,7216.6,26263,12,487.2,19307.9,31.4,583.1,117.7,,86112,2.4,1.9,10792,2489,0.13,,59.1,9.4,16.9,27.8,0.05,0.02,0.07,0.06,,90,30,1166465,2.57,7.72,60873,61747
"Phoenix-Mesa, AZ",3281212,13,B,0,0.03,3,46029477,230290028,230.3,0.2,282913114,283,244106385,0,0,0.72,,,,,,81.8,66.58,,3459,3459000,53,163,864,895,563,10017,12555,29417,21813,12926,4536,9825,78517,1115,3102,4,23,8395,216,2,38,1549,18991,,Vlg,3270,1155,2831,1720,28370,1405,34105,6535,7940,2.43,260,60,2.42,72,54,7.8,112,58922,34,81727,48,50,1.31,1687,981,5805,3,116.7,3439.1,2720,2,55.6,2018.4,25,515.9,17,,68070,2.7,2.1,12424,2594,0.18,,74.1,13.7,3,25.4,0.02,0.01,0.05,0.05,,231,52,2005192,2.59,11.52,38009,34675
"Seattle, WA",3059393,14,S,0.05,0.087,8.7,193172780,955610004,955.6,0.2,1183628441,1184,824828914,55289192,0.05,0.76,,0.46,3.42,,,380.8,307.47,,3108,3108000,139,184,710,1226,1191,8532,11982,30670,14888,12533,5415,7852,71358,1185,2623,4,23,8395,322,3,43,1854,16542,,Vlg,3005,1260,2385,1632,30800,1810,26200,5530,7340,2.44,1060,160,2.32,70,51,7.2,30,54707,34,74098,45,54,1.3,1413,866,7019,4,133.5,2692,12661,8,225.3,8236.3,24.7,470.2,75,,67923,2.3,2.4,10047,2288,0.15,,69.9,11.4,8.7,27.5,0.04,0.01,0.06,0.05,,20,7,594210,1.18,3.37,55982,50471
"San Diego, CA",2956746,15,S,0.42,0.038,3.8,94977325,270224490,270.2,0.35,590951305,591,231890313,250874756,0.42,0.75,,0.41,0.27,,,200.3,91.57,,2951,2951000,150,130,283,747,776,3001,5087,38226,8732,13766,4723,2994,68442,984,2999,2,23,8395,281,6,56,1991,19200,,Lrg,2905,800,3631,1604,39395,1965,22155,3400,5365,1.85,539,90,2.62,85,67,8,58,71123,44,90711,57,48,1.4,1708,1065,7949,5,146.4,5326.7,8922,6,164.6,6358.2,31.2,588,56.7,,73604,2.6,1.7,7258,2504,0.1,,74.8,10.8,3.8,25.1,0.03,0.01,0.05,0.06,,94,23,1266731,1.82,7.42,47688,45488
"Minneapolis-St. Paul, MN",2650890,16,S,0.12,0.053,5.3,91136124,325944116,325.9,0.28,444559267,445,368954761,52693748,0.12,0.71,,,0.42,,,176.5,129.39,,2519,2519000,204,120,215,1572,1179,8609,11899,28387,6370,17279,4617,7666,64319,1192,2113,5,26,9490,323,3,44,1637,17341,,Lrg,2520,1250,2016,1391,28140,1630,23830,5005,6635,2.63,393,81,2.19,61,41,7.4,22,41820,30,59746,43,56,1.26,1100,790,5367,4,95.6,2810,5337,4,95.9,3507.9,23.7,436.5,38.1,,76772,2.3,2.2,8694,2151,0.11,,77.1,8.8,5.3,22.9,0.02,0.01,0.04,0.05,,35,7,654643,1.07,5.35,50797,47863
"St. Louis, MO-IL",2441770,17,S,0.46,0.033,3.3,43418537,198635196,198.6,0.22,297433948,297,138086257,137439468,0.46,0.9,,,0.37,,,134.3,89.68,,2215,2215000,282,120,624,794,1285,7910,11015,29610,12067,8079,5881,12028,67665,1359,1630,5,31,11315,402,4,44,2370,12494,,Lrg,2105,1175,1791,1162,27200,2140,17500,3800,5940,2.82,286,49,2.2,42,37,5.2,10,23342,20,37771,33,53,1.16,711,612,998,1,18.9,544.4,2293,2,43.6,1495.8,17.9,337.8,20.7,,,,,,,,,81.8,8.3,3.3,,0.01,0,0.05,0.04,,57,15,350759,4.28,16.25,37744,41323
"Baltimore, MD",2374203,18,L,0.48,0.076,7.6,124721058,467514203,467.5,0.27,698119405,698,353403275,335486624,0.48,0.71,0.77,0.34,0.96,,,324.9,217.55,,2149,2149000,141,150,393,663,726,5105,7178,26672,10042,8376,3759,3816,52665,683,3146,3,25,9125,292,4,51,1556,17142,,Lrg,2315,770,3006,1278,26455,1540,18720,3285,4825,2.08,659,105,2.32,66,50,7.4,46,40814,32,56769,44,55,1.3,1126,881,2843,2,56.2,1682.1,9923,8,199.7,6319.9,24.5,486.4,86.3,,78930,2.5,1.7,8673,2508,0.11,,74.8,10.1,7.6,28.2,0.03,0,0.05,0.03,,47,17,637455,2.67,7.37,41368,47333
"Tampa-St. Petersburg, FL",2203663,19,S,0.01,0.016,1.6,23040582,114042707,114,0.2,131410740,131,123879946,862224,0.01,0.83,,,2.79,,,56.6,49.11,,2322,2322000,118,51,417,545,823,7628,9582,14196,16300,12851,7551,14467,65365,1072,2166,4,28,10220,169,2,22,883,16077,,Lrg,2250,1350,1667,1242,13050,850,28000,3750,4600,2.04,112,23,2.34,69,66,7.6,85,35281,28,56203,45,54,1.28,1004,809,3522,3,62.5,1970.4,1282,1,22.8,661,25,446.2,10.1,,,,,,,,,80.4,9.3,1.6,24.8,0.02,0.01,0.04,0.05,,80,23,583230,3.94,13.72,34002,36918
"Denver-Aurora, CO",2150706,20,S,0.22,0.052,5.2,79142681,345241035,345.2,0.23,537960859,538,396495470,119749823,0.22,0.67,,,0.34,,,246.3,158.08,,2184,2184000,108,150,502,595,685,6283,8323,20397,15756,7237,4071,5274,52735,814,2683,4,24,8760,258,3,39,1279,15947,,Lrg,2090,855,2444,1294,19900,1250,23380,3670,4920,2.35,443,86,2.32,67,54,7.4,47,42519,33,64997,50,53,1.33,1176,909,3528,3,63.5,1857.2,4464,3,81.2,2937,31.1,562.7,38.9,,,,,,,,,75.5,9.6,5.2,25.7,0.02,0.01,0.04,0.05,,61,19,900143,2.11,6.78,50047,47510
"Cleveland, OH",2148346,21,S,0.27,0.051,5.1,44514856,241998550,242,0.18,266298598,266,186634153,72601852,0.27,0.95,0.46,,0.67,,,154.3,140.21,,1726,1726000,192,52,354,644,660,5338,7240,18120,5564,6498,2674,6287,39143,897,1924,4.2,22.7,8286,244,3.4,46.3,1409,12860,,Lrg,1790,895,2000,986,18150,1405,12185,3080,4485,2.51,293,67,2.24,29,27,5,14,8840,9,13162,13,56,1.09,236,240,487,0,9,321.7,1503,2,27.4,975.5,7.4,131.8,15.3,,62104,2.5,2.1,8371,2177,0.13,,82,6.7,5.1,23.8,0.02,0,0.06,0.03,,33,4,438042,0.91,7.53,41493,39857
"Pittsburgh, PA",1932666,22,S,0.1,0.071,7.1,86756170,348116766,348.1,0.25,355766848,356,301783391,34681135,0.1,0.88,,,1.23,,,203.9,199.49,,1745,1745000,170,134,550,905,872,6724,9355,12403,9802,7500,3930,4821,38456,1215,1436,5,22,8030,304,3,32,1275,9728,,Lrg,1800,1210,1488,1003,12330,1260,17760,3675,4935,2.74,316,70,2.28,26,32,3.6,12,9215,9,16159,16,58,1.09,285,285,390,0,7,225.1,1882,2,33.8,1012.9,9,158.3,18.8,,,,,,,,,75.4,9.3,7.1,24.8,0.04,0,0.07,0.03,,22,7,311218,2.25,7.07,39492,42819
"Portland, OR-WA",1886011,23,S,0.42,0.065,6.5,83303799,344573203,344.6,0.24,448807329,449,251202862,186540535,0.42,0.93,,,0.39,,,248.6,190.9,,1805,1805000,90,62,300,589,892,5035,6968,13627,7362,6330,3925,3966,35211,538,3355,3.9,19.5,7118,152,2.2,38.7,785,17359,,Lrg,1730,540,3204,887,13620,765,13850,2480,3245,1.88,466,111,2.48,66,50,7.6,26,24007,27,33660,38,54,1.29,625,704,2653,3,50,1642,6676,8,124.1,4228.2,19.5,361.3,71.7,,,,,,,,,72.3,10.3,6.5,24.1,0.03,0.02,0.05,0.05,,36,12,550396,2.18,6.54,47811,39436
"San Jose, CA",1849898,24,S,0.28,0.035,3.5,38173722,289386976,289.4,0.13,191896583,192,129533714,54527623,0.28,1.55,,,1.03,,,112.7,169.93,,1703,1703000,41,85,317,391,367,2770,3971,16680,10847,6053,1541,1730,36851,353,4824,2,22,8030,125,3,45,898,18575,,Lrg,1675,390,4295,925,16820,910,17000,2500,3410,2.04,167,38,2.62,76,63,7.8,4,34710,38,50038,54,53,1.34,899,973,4165,5,73.9,2514.3,2592,3,46.2,1651.8,29.9,536.7,27.6,,,,,,,,,78.5,9.6,3.5,24.4,0.02,0.01,0.04,0.04,,50,14,939899,1.49,5.32,82880,58802
"Riverside-San Bernardino, CA",1780673,25,B,0,0.019,1.9,21162983,114343685,114.3,0.19,127365468,127,118322877,0,0,0.81,,,,,,66.4,59.65,,1917,1917000,105,63,200,679,733,3279,5059,24209,4242,8652,3352,1952,42407,747,2566,3,22,8030,168,3,57,1118,21653,,Lrg,1800,740,2432,994,24020,1125,12965,2670,3795,2.11,128,23,2.62,78,50,8,75,39627,40,48266,49,49,1.35,955,961,5213,5,102.2,2279.4,2165,2,40,1249.4,26.8,530.6,22.2,,,,,,,,,75.5,15.6,1.9,30.1,0.02,0,0.04,0.04,,68,11,493722,2.23,13.77,22430,29016
"Cincinnati, OH-KY-IN",1758210,26,B,0,0.036,3.6,29498140,105546293,105.5,0.28,147970851,148,143364636,0,0,0.65,,,,,,85.6,61.08,,1728,1728000,172,39,355,557,576,5059,6758,18988,6293,5881,3334,6806,41303,959,1802,4,24,8760,212,3,46,1231,15425,,Lrg,1620,885,1831,914,18560,1200,12030,2745,3945,2.44,163,30,2.24,51,36,6.8,29,17447,19,24377,27,55,1.18,459,502,790,1,15,537.3,1909,2,36.2,1246.9,15,283.3,22.3,,,,,,,,,81.9,8.1,3.6,22.8,0.02,0,0.05,0.04,,31,5,332458,1.5,9.32,37970,38766
"Virginia Beach, VA",1733853,27,B,0,0.012,1.2,15917704,66155596,66.2,0.24,103013911,103,93325256,0,0,0.63,,,,,,67.1,43.1,,1535,1535000,116,68,304,555,557,4367,5967,13113,7181,8713,2671,4343,36022,1812,847,4,24,8760,183,3,36,947,13847,,Lrg,1540,1020,1510,850,13105,945,16005,2950,3895,2.53,108,24,2.24,51,45,6.2,18,17102,20,25602,30,58,1.18,468,550,2165,3,39.3,1122.2,1214,1,22.4,729,16.6,303.9,14.5,,,,,,,,,79.8,9.1,1.2,22.4,0.03,0,0.05,0.06,,24,5,434743,1.15,5.52,37072,38112
"Sacramento, CA",1723634,28,S,0.47,0.027,2.7,34232734,167640430,167.6,0.2,166708153,167,83253889,78760310,0.47,1.26,,,0.6,,,89.7,90.23,,1858,1858000,64,59,353,329,528,3425,4758,15955,9891,4211,2889,1892,34838,446,4166,3,19,6935,123,3,46,824,19362,,Lrg,1750,435,4023,966,15415,785,14305,2345,3130,1.79,142,33,2.62,79,60,8,48,29244,30,39577,41,51,1.32,729,755,3482,4,65.2,2082.5,2089,2,37.6,1357.1,22.6,416.6,21.5,,,,,,,,,75.5,13.3,2.7,25.6,0.02,0.01,0.04,0.04,,48,11,460242,2.39,10.43,36978,39002
"Kansas City, MO-KS",1664496,29,B,0,0.017,1.7,11052375,78814540,78.8,0.14,68773208,69,61548613,0,0,1.08,,,,,,45.1,51.68,,1525,1525000,218,178,358,844,686,6813,9097,21015,6305,7117,2413,7138,43987,1049,1454,6,28.8,10512,396,4.4,47.8,1925,10917,,Lrg,1500,1045,1435,828,20675,1870,12970,3125,4995,3.33,60,15,2.2,22,25,3.8,12,8637,10,13737,17,62,1.08,256,309,602,1,11.1,298.7,308,0,5.7,159.3,9.2,170.7,3.8,,,,,,,,,83.8,7.9,1.7,21.3,0.02,0,0.04,0.04,,77,17,592695,2.87,12.99,43112,40367
"San Antonio, TX",1624827,30,B,0,0.03,3,19534808,129230504,129.2,0.15,170920080,171,154807125,0,0,0.67,,,,,,117.8,89.06,,1451,1451000,135,76,279,466,579,3583,5118,18259,6062,6120,3526,2122,36089,481,3017,4,25,9125,211,4,51,1101,16584,,Lrg,1360,565,2407,751,17065,1090,11245,2235,3325,2.44,181,41,2.23,61,45,7,16,20425,27,29380,39,52,1.23,530,706,1213,2,21.9,794.5,1774,2,32.2,1257.3,21.6,389.7,23.7,,,,,,,,,79.1,11,3,23.8,0.02,0,0.04,0.03,,108,18,1328984,1.35,8.13,31932,34864
"Las Vegas, NV",1519417,31,B,0,0.042,4.2,76218218,195704158,195.7,0.39,232092898,232,220204101,0,0,0.51,,,,24.21,,234,197.28,,992,992000,64,40,121,386,233,2767,3611,11509,4460,9823,2177,5988,33957,270,3674.1,3.6,34.2,12483,104,2.9,33.9,570,20192,,Lrg,1365,305,4475,753,9200,500,12700,1930,2430,1.78,195,54,2.55,69,53,7.8,29,20023,27,29493,39,52,1.3,543,720,1309,2,23.4,736.8,2439,3,46.6,1705.3,21.6,397.8,34.1,,,,,,,,,77.9,11.6,4.2,24,0.02,0,0.05,0.02,,50,8,558880,1.43,8.95,42265,39269
"Milwaukee, WI",1510516,32,B,0,0.042,4.2,49728150,165911294,165.9,0.3,154042838,154,144437015,0,0,0.97,,,,,,109.6,118.09,,1405,1405000,95,53,662,794,481,4068,6153,11053,9369,5499,1174,6934,34029,518,2712,4,24,8760,148,2,33,740,14937,,Lrg,1460,585,2496,796,10750,725,14400,3950,4675,3.2,158,53,2.37,38,25,5.6,14,10815,14,15402,19,51,1.13,282,354,1174,1,21.4,690.5,1274,2,23.4,861.6,10.5,193.2,16,,,,,,,,,80.3,8.7,4.2,21.7,0.03,0,0.04,0.03,,40,19,602191,3.16,6.64,45591,43042
"Indianapolis, IN",1487483,33,B,0,0.01,1,8911670,47697564,47.7,0.19,47307441,47,44059896,0,0,0.84,,,,,,37.5,37.83,,1261,1261000,153,13,292,470,421,3511,4860,13498,6733,4568,1519,5934,32252,918,1374,3.9,25.6,9344,166,3.4,41.9,904,14931,,Lrg,1035,500,2070,571,11050,730,12700,1885,2615,2.53,44,9,2.26,62,55,7.2,-1,16098,28,24318,43,52,1.22,478,836,697,1,13.8,508.4,308,1,6,166.6,23.5,461.8,5.8,,,,,,,,,83.7,9.4,1,22.9,0.02,0,0.05,0.03,,77,9,795458,1.13,9.68,46450,39318
"Providence, RI-MA",1439666,34,B,0,0.029,2.9,27273466,100603578,100.6,0.27,116594822,117,108122981,0,0,0.76,,,,,,94.7,81.73,,1231,1231000,85,99,395,527,719,4492,6317,11735,6601,4597,2513,1826,27273,799,1541,5.1,22.2,8103,184,2.9,43,914,12839,,Lrg,1245,800,1556,677,11505,910,11100,2150,3060,2.46,99,20,2.32,39,37,5.4,23,11660,17,19482,29,60,1.16,344,507,295,0,5.4,183.3,976,1,17.3,529.3,15.6,276.3,13.9,,,,,,,,,80.6,9.3,2.9,23.3,0.03,0,0.04,0.03,,14,5,172459,2.9,8.12,33998,40527
"Orlando, FL",1376476,35,B,0,0.023,2.3,19482103,95458228,95.5,0.2,159324353,159,145890379,0,0,0.53,,,,,,113.4,67.94,,1405,1405000,39,136,208,349,536,4413,5681,13545,8272,8878,5689,8370,44754,716,1962,4,32,11680,175,3,30,871,15551,,Lrg,1360,715,1902,751,12470,895,16770,2070,2965,2.18,160,25,2.34,69,66,7.4,30,26049,35,40595,54,53,1.3,738,983,1929,3,34.9,1140.6,1909,3,34.5,1062.8,29.8,542.6,25.4,,,,,,,,,80.2,9.9,2.3,26.1,0.01,0,0.03,0.05,,36,9,227907,3.95,15.8,42353,34738
"Columbus, OH",1368035,36,B,0,0.021,2.1,13071440,69572572,69.6,0.19,57932499,58,56130167,0,0,1.12,,,,,,47.2,56.7,,1227,1227000,127,37,199,509,419,4026,5317,15209,4035,6213,2379,3414,31249,609,2015,4,26,9490,164,3,49,956,15909,,Lrg,1195,605,1975,660,14960,955,10440,2120,3075,2.57,60,15,2.24,59,46,7,32,15513,24,21958,33,54,1.19,408,620,1130,2,21.7,768.9,616,1,11.8,437.5,18.4,341.4,9.9,,,,,,,,,82.5,7.5,2.1,21.1,0.02,0,0.05,0.04,,52,10,747755,1.34,6.95,42890,38129
"New Orleans, LA",1362416,37,S,0.05,0.028,2.8,12731081,89862186,89.9,0.14,32761040,33,29322690,1622224,0.05,2.09,,,7.64,,,32.5,89.06,,1009,1009000,57,9,218,267,211,2520,3282,5341,5358,2762,986,946,15394,321,3143.3,3.3,15.3,5585,66,2,34.7,374,14281,,Lrg,1090,320,3406,602,5700,415,8200,1810,2225,2.04,130,54,2.23,44,36,5.6,1,6917,11,10837,18,53,1.15,208,345,586,1,11.1,330,1070,2,20.8,675.3,9.9,190.8,19.1,,,,,,,,,75.2,13,2.8,23.3,0.03,0.01,0.06,0.04,,33,6,239124,2.51,13.8,42206,44136
